"mode","wait.air","wait.train","wait.bus","wait.car","vcost.air","vcost.train","vcost.bus","vcost.car","travel.air","travel.train","travel.bus","travel.car","gcost.air","gcost.train","gcost.bus","gcost.car","size","income"
"car",69,34,35,0,59,31,25,10,100,372,417,180,70,71,70,30,1,35
"car",64,44,53,0,58,31,25,11,68,354,399,255,68,84,85,50,2,30
"car",69,34,35,0,115,98,53,23,125,892,882,720,129,195,149,101,1,40
"car",64,44,53,0,49,26,21,5,68,354,399,180,59,79,81,32,3,70
"car",64,44,53,0,60,32,26,8,144,404,449,600,82,93,94,99,2,45
"train",69,40,35,0,59,20,13,12,100,345,417,284,70,57,58,43,1,20
"air",45,34,35,0,148,111,66,36,115,945,935,821,160,213,167,125,1,45
"car",69,34,35,0,121,52,50,50,152,889,879,780,137,149,146,135,1,12
"car",69,34,35,0,59,31,25,17,100,372,417,210,70,71,70,40,1,40
"car",69,34,35,0,58,31,25,7,68,357,402,210,65,69,68,30,2,70
"car",64,44,53,0,58,16,13,4,68,357,402,210,68,70,73,36,2,15
"car",64,44,53,0,62,34,28,6,108,370,415,250,79,90,91,44,2,35
"car",64,44,53,0,45,24,19,5,114,378,423,240,63,81,83,41,4,50
"car",64,44,53,0,58,31,25,15,94,360,405,285,72,85,86,58,1,40
"car",64,44,53,0,83,70,47,17,169,948,938,1200,109,214,189,199,4,26
"train",69,20,35,0,60,19,25,14,127,325,435,350,73,55,72,52,1,26
"train",69,15,35,0,61,38,26,13,74,255,389,315,69,66,68,47,1,26
"train",69,20,35,0,67,21,19,17,86,300,399,327,76,54,63,53,1,6
"train",69,45,35,0,59,18,14,16,148,305,456,427,75,51,63,62,1,20
"train",64,10,53,0,58,28,25,9,93,305,346,316,72,75,78,57,2,72
"train",69,20,35,0,61,21,15,13,73,305,395,314,69,54,58,47,1,6
"train",64,45,53,0,62,45,17,13,235,465,623,559,98,116,111,98,2,10
"air",90,34,35,0,142,71,32,33,105,596,590,577,153,136,96,96,1,50
"air",50,34,35,0,120,70,31,33,110,596,590,577,132,135,95,96,1,50
"air",15,34,35,0,85,15,12,9,65,361,406,296,92,55,56,41,2,18
"air",30,44,53,0,85,90,45,86,140,928,918,902,106,231,185,223,1,60
"air",80,34,35,0,75,70,31,39,110,638,632,581,87,140,100,102,1,45
"air",45,44,53,0,85,39,35,19,140,664,658,592,106,139,135,109,2,18
"train",64,60,53,0,74,43,21,9,179,320,345,321,101,91,74,58,2,8
"train",69,2,35,0,59,11,13,13,100,285,417,284,70,42,58,44,1,6
"train",69,5,35,0,59,17,25,13,101,300,420,297,70,50,70,45,1,20
"train",69,15,35,0,64,32,29,18,90,325,405,327,73,67,73,54,1,45
"train",64,45,53,0,59,29,26,9,73,290,395,314,70,73,86,57,2,70
"train",69,10,35,0,62,31,19,17,66,295,397,307,70,63,62,50,1,4
"train",69,15,35,0,60,15,26,12,132,330,373,309,75,50,67,46,1,40
"train",69,10,35,0,60,23,25,17,117,325,425,307,73,58,71,50,1,35
"train",64,45,53,0,62,24,28,11,184,360,464,427,90,79,98,76,2,40
"train",64,30,53,0,50,31,14,6,67,265,393,308,60,71,73,53,3,4
"train",64,55,53,0,48,25,14,4,154,360,462,351,71,80,84,57,4,15
"air",30,34,35,0,147,96,57,28,100,678,672,629,158,169,130,96,1,26
"air",75,34,35,0,125,70,31,24,110,596,590,577,137,135,95,87,1,26
"air",40,34,35,0,152,73,34,24,95,600,594,587,162,138,98,88,1,70
"air",30,34,35,0,116,71,32,29,180,657,651,629,136,142,102,97,1,70
"air",40,44,53,0,100,70,31,17,105,622,616,577,116,165,125,105,2,45
"air",45,44,53,0,105,35,31,12,115,622,616,577,122,130,125,100,2,8
"air",20,34,35,0,106,72,33,44,190,659,653,592,127,143,104,108,1,70
"air",60,44,53,0,90,69,30,13,100,596,590,577,105,160,120,101,2,26
"air",40,34,35,0,48,31,25,16,115,365,410,308,60,70,69,49,1,50
"air",50,44,53,0,69,16,13,4,85,344,389,315,82,68,72,52,3,10
"air",75,34,35,0,99,96,57,29,135,678,672,629,114,169,130,97,1,30
"air",90,44,53,0,64,74,35,20,155,678,672,629,88,177,137,115,2,60
"air",85,44,53,0,105,56,35,8,85,665,659,587,118,156,135,97,4,30
"train",69,15,35,0,60,24,25,13,123,365,430,332,73,64,71,49,1,30
"train",64,30,53,0,58,22,25,9,90,340,417,334,72,74,88,60,2,50
"train",64,15,53,0,45,22,13,5,73,290,395,314,56,66,73,53,4,6
"train",69,30,35,0,108,31,44,50,170,875,887,884,126,126,140,146,1,30
"train",69,45,35,0,110,22,47,38,249,890,955,990,137,119,151,146,1,12
"train",64,10,53,0,115,44,50,18,138,830,869,862,136,170,182,149,2,36
"train",69,40,35,0,117,59,48,38,147,790,885,883,133,145,144,134,1,30
"train",64,50,53,0,88,78,43,16,119,775,840,855,106,196,170,146,3,35
"train",69,40,35,0,105,43,44,50,196,895,919,935,126,140,144,152,1,6
"train",64,25,53,0,120,28,52,38,333,870,890,921,170,160,187,178,1,6
"train",64,25,53,0,103,36,43,19,146,875,943,887,125,169,186,154,2,8
"train",69,5,35,0,103,22,43,36,138,800,821,846,118,109,132,128,1,6
"train",64,75,53,0,116,89,47,19,164,685,875,874,141,193,180,152,2,12
"bus",69,34,10,0,103,88,30,50,129,925,790,887,117,189,116,146,1,30
"car",64,44,53,0,109,101,56,26,230,1104,1094,960,144,269,222,172,2,35
"bus",69,34,45,0,108,92,39,52,177,907,850,865,127,191,131,146,1,35
"train",64,40,53,0,92,73,46,16,161,792,920,887,117,193,186,151,3,60
"train",64,45,53,0,119,75,51,19,161,765,869,898,143,191,182,155,2,60
"train",64,40,53,0,109,24,46,27,190,399,951,897,138,85,190,163,2,12
"train",69,30,35,0,111,30,50,47,108,760,867,844,122,113,144,139,1,10
"train",69,25,35,0,104,23,45,41,246,830,1068,978,131,113,161,147,1,10
"train",69,75,35,0,104,23,43,40,200,835,846,927,126,114,135,141,1,15
"train",64,30,53,0,124,82,54,19,160,850,893,886,148,211,189,153,2,10
"train",64,50,53,0,103,73,43,50,145,840,892,894,125,200,178,186,1,8
"train",69,30,35,0,103,80,42,38,125,800,844,861,116,167,134,132,1,30
"car",64,44,53,0,113,51,49,26,163,948,938,720,137,195,191,135,2,20
"car",64,44,53,0,76,63,44,10,147,918,908,1440,98,203,182,228,5,70
"bus",69,34,30,0,108,89,43,35,163,905,785,879,125,187,128,130,1,20
"bus",69,34,60,0,127,109,52,50,193,888,1025,892,148,205,163,147,1,60
"car",64,44,53,0,44,25,20,5,100,351,361,180,59,78,75,32,4,70
"train",69,1,35,0,59,11,13,17,98,320,413,332,69,46,57,53,1,8
"train",69,25,35,0,59,60,25,8,114,337,423,335,72,97,71,44,1,30
"air",25,44,53,0,65,69,30,16,140,596,590,577,86,160,120,104,2,70
"train",69,10,35,0,60,37,28,14,67,285,400,320,67,68,72,49,1,60
"car",64,44,53,0,59,17,14,5,118,349,359,240,77,70,68,41,2,20
"train",69,10,35,0,61,18,27,12,72,305,396,332,69,51,70,48,1,15
"car",64,44,53,0,59,32,26,6,118,349,359,265,77,85,80,46,2,30
"train",64,20,53,0,60,40,26,10,74,262,389,315,71,80,85,58,2,26
"train",64,20,53,0,44,30,19,4,93,291,346,316,58,74,72,52,4,35
"train",69,10,35,0,58,30,25,14,124,340,427,364,71,67,71,54,1,12
"car",64,44,53,0,84,70,31,15,108,596,590,360,100,160,120,70,2,70
"air",30,44,53,0,145,31,25,13,90,343,388,296,158,83,84,58,1,50
"air",45,44,53,0,121,92,47,20,100,926,916,885,136,233,186,154,2,40
"air",30,34,35,0,84,72,33,26,180,707,701,626,103,149,109,94,1,70
"bus",69,34,5,0,61,17,31,13,146,409,300,350,77,61,64,51,1,10
"air",45,34,35,0,180,89,44,39,160,985,975,896,197,196,150,136,1,26
"bus",64,44,40,0,94,79,32,13,231,949,1110,942,129,223,201,156,3,50
"car",64,44,53,0,92,77,46,17,203,961,951,780,123,223,190,135,3,70
"bus",69,34,15,0,59,31,25,23,111,376,360,351,71,72,64,61,1,30
"car",64,44,53,0,75,64,45,13,153,900,890,720,99,201,180,122,5,50
"car",69,34,35,0,58,16,13,13,99,366,411,300,68,55,57,46,1,20
"car",64,44,53,0,110,91,46,21,153,874,864,960,133,223,177,167,2,32
"car",64,44,53,0,108,90,45,20,187,932,922,1440,136,231,185,238,2,27
"bus",69,34,30,0,104,89,28,40,179,978,795,904,123,195,114,138,1,30
"car",69,34,35,0,108,89,44,34,180,901,891,720,128,187,141,112,1,35
"car",64,44,53,0,78,66,43,11,146,903,893,870,100,203,178,143,4,40
"car",64,44,53,0,60,32,26,8,144,404,449,270,82,93,94,49,2,60
"car",64,44,53,0,78,67,44,12,175,932,922,720,105,208,183,121,4,40
"car",69,34,35,0,67,38,32,12,108,370,415,240,79,78,77,38,1,70
"car",64,44,53,0,108,90,45,19,200,944,934,720,139,234,187,128,2,70
"air",60,44,53,0,108,32,26,7,80,344,389,315,120,84,85,55,2,30
"air",30,44,53,0,58,32,26,8,90,506,551,402,72,109,110,69,2,35
"air",55,34,35,0,69,43,37,13,115,392,437,268,81,85,84,42,1,60
"air",40,34,35,0,66,31,25,18,105,372,417,327,77,71,70,54,1,45
"bus",69,34,40,0,57,31,18,13,67,355,245,320,65,69,45,48,1,45
"bus",69,34,20,0,129,67,54,38,185,933,820,894,149,168,143,135,1,6
"air",90,34,35,0,151,96,51,35,95,895,885,844,161,193,147,127,1,36
"air",10,34,35,0,70,34,28,22,85,351,396,307,80,72,71,55,1,20
"air",25,44,53,0,75,15,12,7,100,348,393,290,90,68,72,51,2,20
"air",99,34,35,0,110,92,47,45,260,934,924,816,138,193,147,134,1,26
"air",30,34,35,0,94,89,44,58,195,943,933,912,115,191,145,157,1,29
"air",35,44,53,0,95,45,43,23,155,930,920,860,119,186,183,153,2,8
"bus",69,34,15,0,104,89,38,39,178,992,675,900,123,197,111,137,1,32
"bus",64,44,30,0,103,88,35,18,170,889,770,905,129,222,152,155,2,45
"car",64,44,53,0,86,75,44,13,167,972,962,870,112,222,190,145,3,45
"bus",64,44,30,0,108,90,36,18,139,862,780,875,129,220,154,151,2,26
"car",69,34,35,0,59,31,25,13,106,372,417,300,71,71,70,46,1,60
"train",64,10,53,0,58,35,13,8,124,380,427,364,77,92,78,63,2,10
"car",64,44,53,0,107,89,44,2,153,880,870,660,131,222,176,102,2,45
"car",64,44,53,0,86,74,43,16,143,880,870,660,108,207,175,116,3,60
"bus",69,34,15,0,108,91,35,38,196,967,935,903,129,196,136,136,1,60
"bus",69,34,25,0,103,45,25,37,149,892,730,882,119,142,104,133,1,8
"car",64,44,53,0,103,89,44,34,160,987,977,660,127,239,192,134,2,60
"car",64,44,53,0,114,60,58,19,161,1031,1021,720,138,217,213,128,2,12
"car",69,34,35,0,107,91,46,36,150,914,904,750,123,190,144,117,1,45
"bus",69,34,5,0,118,96,65,64,137,904,850,859,132,194,157,157,1,50
"bus",69,34,45,0,102,87,35,35,101,870,800,825,113,182,122,125,1,26
"car",64,44,53,0,85,73,42,12,101,870,860,600,101,205,173,103,3,35
"train",69,30,35,0,107,61,45,54,158,780,901,853,125,146,143,147,1,12
"train",69,30,35,0,113,67,49,47,244,845,893,868,140,158,146,141,1,15
"train",64,99,53,0,84,37,46,10,215,885,966,921,117,171,193,150,4,12
"train",64,25,53,0,94,68,47,16,163,755,895,879,119,183,183,149,3,35
"train",69,15,35,0,112,21,45,47,161,797,876,852,129,108,140,140,1,26
"train",69,45,35,0,103,20,43,35,166,820,836,886,121,109,134,131,1,6
"train",69,30,35,0,107,33,44,48,152,755,882,845,124,115,140,140,1,4
"train",64,10,53,0,103,41,43,19,164,730,925,898,128,152,183,155,2,40
"train",64,10,53,0,143,83,70,50,166,825,896,911,168,208,206,188,1,40
"air",45,34,35,0,94,91,46,49,270,916,906,872,123,190,144,144,1,60
"air",45,34,35,0,138,60,58,47,115,880,870,888,150,156,153,143,1,4
"air",60,34,35,0,102,112,67,43,250,997,952,971,129,220,170,148,1,50
"air",60,44,53,0,151,91,46,21,255,941,931,959,190,234,187,166,2,60
"air",60,34,35,0,111,97,52,49,205,888,878,855,133,193,147,142,1,70
"air",60,44,53,0,70,31,25,7,95,360,405,335,93,85,86,58,2,40
"air",45,44,53,0,74,26,21,4,70,361,406,315,85,81,82,52,3,35
"air",75,44,53,0,165,98,53,26,180,967,922,947,192,245,193,170,2,60
"air",30,34,35,0,93,96,51,54,175,1030,1020,967,112,208,162,159,1,60
"air",90,44,53,0,71,31,25,7,115,385,430,332,89,89,90,57,2,50
"air",45,44,53,0,75,33,28,5,75,418,463,291,96,96,98,49,3,40
"air",60,34,35,0,81,32,26,13,70,341,386,307,89,69,68,46,1,60
"air",75,34,35,0,94,33,27,14,95,367,412,314,104,73,72,48,1,20
"car",64,44,53,0,70,61,34,11,158,778,772,470,93,179,151,82,3,50
"car",64,44,53,0,65,54,33,8,145,674,668,560,87,156,135,93,4,70
"car",64,44,53,0,71,59,32,8,133,625,619,510,91,153,126,85,3,50
"car",69,34,35,0,81,71,32,33,139,698,692,600,96,147,107,98,1,26
"car",64,44,53,0,65,53,32,9,154,621,615,535,89,147,125,90,4,45
"car",64,44,53,0,58,48,32,5,148,646,640,470,80,145,129,76,6,45
"car",69,34,35,0,81,70,31,30,95,610,604,440,91,136,96,78,1,30
"car",64,44,53,0,71,59,32,10,145,658,652,590,93,159,131,100,3,40
"car",64,44,53,0,82,71,32,13,159,765,759,490,106,187,147,87,2,50
"bus",69,34,50,0,61,33,26,14,73,350,227,314,69,71,51,48,1,35
"bus",69,34,15,0,60,31,21,14,133,397,240,351,74,74,47,52,1,34
"bus",64,44,15,0,81,35,31,12,129,677,565,588,101,138,117,101,2,8
"car",69,34,35,0,59,32,26,17,117,397,442,180,72,75,74,37,1,30
"bus",69,34,30,0,111,93,35,42,276,1047,860,1008,141,207,128,151,1,32
"bus",69,34,15,0,59,30,21,13,88,361,295,299,68,70,53,45,1,26
"bus",69,34,15,0,59,31,21,13,114,389,243,334,71,73,47,49,1,42
"air",90,44,53,0,55,72,33,24,115,602,596,589,72,163,123,113,1,50
"air",15,44,53,0,87,31,25,7,110,348,393,320,104,84,85,56,2,70
"car",69,34,35,0,62,39,33,12,76,377,422,300,71,80,79,45,1,30
"car",69,34,35,0,59,31,25,14,121,386,431,270,72,73,72,43,1,26
"train",64,20,53,0,51,61,22,6,90,350,405,327,64,114,83,56,3,26
"train",64,50,53,0,64,41,15,9,215,420,385,321,97,104,73,58,2,18
"train",64,30,53,0,58,21,24,7,74,295,389,315,69,66,83,55,2,35
"bus",64,44,15,0,71,58,35,11,119,617,615,586,89,152,128,100,3,50
"air",15,34,35,0,50,15,12,13,75,361,406,315,58,55,56,47,1,4
"air",10,44,53,0,61,24,19,4,80,350,395,314,73,77,79,52,4,30
"car",69,34,35,0,59,31,25,13,100,372,417,210,70,71,70,36,1,45
"car",69,34,35,0,58,31,25,18,73,324,334,240,66,66,61,44,1,60
"car",69,34,35,0,62,19,16,18,184,454,464,225,82,68,66,42,1,4
"air",30,34,35,0,93,33,27,13,85,365,410,308,102,72,71,46,1,30
"air",20,34,35,0,76,33,27,13,95,344,389,315,86,70,69,47,1,60
"bus",64,44,30,0,100,49,48,14,190,678,430,629,129,152,113,109,2,4
"train",64,10,53,0,48,21,13,4,63,255,397,324,58,60,73,53,3,18
"train",64,10,53,0,58,30,13,6,93,315,346,316,72,78,65,54,2,15
"car",69,34,35,0,59,30,24,10,94,361,406,270,69,70,68,39,1,26
"air",30,34,35,0,111,71,32,27,105,596,590,577,122,136,96,90,1,40
"air",5,44,53,0,64,30,24,7,80,348,393,291,76,83,84,51,2,70
"air",5,44,53,0,60,24,19,3,85,379,424,337,73,81,83,54,4,45
"bus",64,44,16,0,97,76,38,15,188,825,810,803,125,201,161,137,3,26
"car",69,34,35,0,91,77,38,29,117,630,624,540,104,145,106,88,1,35
"bus",69,34,5,0,59,16,14,17,114,378,370,335,72,57,54,53,1,4
"bus",69,34,10,0,60,34,37,13,66,352,250,307,67,72,64,46,1,20
"bus",69,34,30,0,107,89,35,37,144,879,775,868,123,184,119,131,1,45
"car",69,34,35,0,81,69,30,30,124,605,599,720,94,135,95,108,1,40
"air",45,34,35,0,126,70,31,32,135,596,590,577,141,135,95,95,1,40
"bus",69,34,50,0,59,15,29,13,86,360,265,300,68,54,57,46,1,2
"car",69,34,35,0,81,35,31,27,124,605,599,510,94,100,96,82,1,20
"car",64,44,53,0,66,54,33,12,140,670,664,540,87,156,134,94,4,70
